state,rank,payer,payer_slug,as_reported,parent_org,payer_kind,lobs,approx_share_pct,share_basis,notes
IL,2,"Meridian (Centene) — with Ambetter, Wellcare, YouthCare affiliates",meridian-with-ambetter-wellcare-youthcare-affiliates,,Centene Corporation,medicaid_mco,managed_medicaid|commercial|medicare_advantage,,"Meridian is the largest HealthChoice Illinois MCO by enrollment (HFS MCO enrollment reports, 2024-2025); exact combined Centene share not computed in sources reviewed.","Centene's Illinois lives span the largest Medicaid MCO (Meridian), the DCFS specialty plan (YouthCare), a large marketplace book (Ambetter), and Wellcare MA — credential each network separately."
IL,3,UnitedHealthcare,unitedhealthcare,UnitedHealthcare (Illinois),UnitedHealth Group,commercial,commercial|medicare_advantage,,"Long-standing #2 commercial carrier (~10% of IL A&H premium per Crain's 2012); cited as holding roughly one-third of IL Medicare Advantage enrollment (ilhealthagents.com top-carriers review, 2025). Combined share unpublished.",No HealthChoice Illinois Medicaid contract; strength is commercial ASO (incl. UMR) and the largest MA book.
IL,4,Aetna (CVS Health),aetna,Aetna (CVS Health) / Aetna Better Health of Illinois,CVS Health,commercial,commercial|medicare_advantage|managed_medicaid,,"HealthChoice Illinois MCO status confirmed (HFS, 2025); MA plan-count #2 in IL (NerdWallet 2026); combined lives unpublished — ranking partly unverified: model knowledge.","Three-line presence: employer commercial, large MA footprint, and the statewide Medicaid MCO (ex-IlliniCare book acquired from Centene in 2020)."
IL,5,CountyCare Health Plan (Cook County Health),countycare-health-plan,,Cook County Health & Hospitals System,medicaid_mco,managed_medicaid,,"Cook-County-only HealthChoice Illinois plan, consistently among the largest MCOs by enrollment (~400k range per HFS enrollment reports, 2024-2025 — exact figure not re-verified this pass).","Public, provider-sponsored Medicaid-only plan; Cook County only. Major contract for any Chicago-area Medicaid practice."
IL,6,Cigna Healthcare,cigna-healthcare,Cigna Healthcare (Illinois),The Cigna Group,commercial,commercial|medicare_advantage,,unverified: model knowledge — large Chicago-market self-funded ASO book; no IL-specific published share found in this pass.,Predominantly ASO for large employers; modest MA.
IL,7,Humana,humana,Humana (Illinois),Humana Inc.,medicare_advantage,medicare_advantage,,"Highest MA plan count in IL (32 plans, NerdWallet 2026); enrollment share unpublished in sources reviewed.",MA-focused (exited employer commercial nationally); one of the top 2-3 MA carriers in IL.
IL,8,Molina Healthcare of Illinois,molina-healthcare-of-illinois,,"Molina Healthcare, Inc.",medicaid_mco,managed_medicaid|medicare_advantage|commercial,,"Statewide HealthChoice Illinois MCO confirmed (HFS, 2025); enrollment mid-pack among the MCOs (HFS reports) — exact figure not re-verified this pass.",Medicaid-led with D-SNP and small marketplace books.
IL,9,Health Alliance (Carle Health) — WOUND DOWN,health-alliance-wound-down,,Carle Health,commercial,commercial|medicare_advantage,,"Exited ALL lines of business by Dec 31, 2025 (~30,000+ MA members affected) — Carle Health/Health Alliance press releases and Becker's, 2025.",HISTORICAL entry: downstate Illinois's major regional payer through 2025; retained here because run-out claims/credentialing records persist into 2026. Do not initiate new credentialing.
IL,10,Zing Health,zing-health,,Zing Health Holdings (Chicago),medicare_advantage,medicare_advantage,,"unverified: model knowledge — small Chicago-based MA (HMO/D-SNP) insurer; no enrollment verified in this pass. Low confidence in this rank-10 slot vs. other small MA entrants (e.g., Devoted Health).",Physician-founded MA plan focused on underserved Chicago-area communities.
IN,1,Anthem Blue Cross and Blue Shield of Indiana (Elevance),anthem-blue-cross-and-blue-shield-of-indiana,Anthem Blue Cross and Blue Shield of Indiana (Elevance Health),Elevance Health,commercial,commercial|medicare_advantage|managed_medicaid,42.5,"Share of privately insured lives in the Indianapolis metro (Indianapolis Business Journal, citing AMA-style market data; older vintage — statewide combined share not published in sources reviewed). Directionally confirmed dominant by AMA Competition in Health Insurance study coverage (Becker's).","Home-state Elevance flagship: dominant commercial, Medicaid MCE across all programs, PathWays LTSS, and major MA. Elevance is headquartered in Indianapolis."
IN,2,UnitedHealthcare,unitedhealthcare,UnitedHealthcare (Indiana),UnitedHealth Group,commercial,commercial|medicare_advantage|managed_medicaid,12.8,"Share of privately insured lives in the Indianapolis metro, #2 to Anthem (Indianapolis Business Journal / AMA-derived; older vintage). Combined statewide share unpublished.",Commercial #2 plus Medicaid MCE (Hoosier Care Connect and PathWays; added to broader programs per IHCP) and a top MA book.
IN,3,CareSource Indiana,caresource-indiana,,"CareSource (Dayton, OH nonprofit)",medicaid_mco,managed_medicaid|commercial|medicare_advantage,,"Active IHCP MCE for Hoosier Healthwise/HIP/Hoosier Care Connect confirmed (in.gov/medicaid, 2025-2026 open enrollment); enrollment split among MCEs not published in sources reviewed.",One of the three MCEs members could pick in the Nov-Dec 2025 open enrollment (Anthem/CareSource/MHS); also sells Indiana marketplace and D-SNP products.
IN,4,"MHS — Managed Health Services (Centene), with Ambetter/Wellcare affiliates",mhs-managed-health-services-with-ambetter-wellcare-affiliates,,Centene Corporation,medicaid_mco,managed_medicaid|commercial|medicare_advantage,,"Active IHCP MCE confirmed (in.gov/medicaid, 2025-2026); enrollment split unpublished in sources reviewed.",Centene's Indiana brand — Medicaid MCE plus Ambetter marketplace and Wellcare MA riding the same network organization.
IN,5,Humana,humana,Humana (Indiana) / Humana Healthy Horizons in Indiana,Humana Inc.,medicare_advantage,medicare_advantage|managed_medicaid|tricare,,"PathWays for Aging MCE status confirmed (in.gov/medicaid, 2025-2026); MA enrollment share unpublished — ranking partly unverified: model knowledge.","Top-tier MA carrier, PathWays LTSS Medicaid contract, and Indiana falls in TRICARE East (administered by Humana Military through the T-5 transition)."
IN,6,Aetna (CVS Health),aetna,Aetna (CVS Health) (Indiana),CVS Health,commercial,commercial|medicare_advantage,,unverified: model knowledge — national ASO + MA presence; no IN-specific share found in this pass.,Employer ASO and MA; no IHCP Medicaid contract.
IN,7,Cigna Healthcare,cigna-healthcare,Cigna Healthcare (Indiana),The Cigna Group,commercial,commercial,,unverified: model knowledge — self-funded employer ASO presence; no IN-specific share found in this pass.,Primarily ASO for large employers.
IN,8,"MDwise — EXITED Indiana Medicaid (Jan 1, 2026)",mdwise-exited-indiana-medicaid,,"MDwise, Inc. (was McLaren Health Care affiliate)",medicaid_mco,managed_medicaid,,"Exit effective Jan 1, 2026 confirmed (medsolercm.com IHCP 2026 guide; IHCP open-enrollment materials). Historical enrollment (hundreds of thousands in Hoosier Healthwise/HIP) not re-verified this pass.","HISTORICAL entry: long-time Indianapolis-based Medicaid-only MCE, no longer an option after Jan 1, 2026; members auto-reassigned to Anthem/CareSource/MHS. Run-out claims/records persist into 2026. Do not initiate new credentialing."
IN,9,Physicians Health Plan of Northern Indiana (PHP),physicians-health-plan-of-northern-indiana,,"PHP (Fort Wayne-based, provider-affiliated)",commercial,commercial|medicare_advantage,,unverified: model knowledge — regional employer-group carrier in northeast Indiana; no enrollment verified in this pass.,Regional payer relevant for Fort Wayne / northeast Indiana practices.
IN,10,IU Health Plans (now part of Elevance Health),iu-health-plans,,"Elevance Health (acquired from Indiana University Health, 2024)",medicare_advantage,medicare_advantage|commercial,,unverified: model knowledge — Elevance's 2024 acquisition of IU Health Plans; membership figures not verified in this pass.,Provider-sponsored MA/employer plan folded into Anthem/Elevance; listed separately because legacy contracts and member IDs persist. Low confidence in this rank-10 slot.
KS,1,Blue Cross and Blue Shield of Kansas,blue-cross-and-blue-shield-of-kansas,,"Independent BCBS licensee (Topeka, KS)",commercial,commercial|medicare_advantage,61.3,Share of Kansas individual/exchange market enrollment; forhealthinsurance.com Kansas carrier comparison citing 2026 marketplace data. Its all-lines commercial share (incl. large group/ASO) is also the state's largest but no single verified percentage found.,Statewide licensee for 103 of 105 counties (everything EXCEPT the Kansas City metro counties served by Blue KC). Only carrier with statewide network across all 105 counties. Also offers Medicare Advantage (Blue Medicare Advantage) and is a minority partner in Healthy Blue KanCare MCO. Kansas has TWO Blue licensees with distinct service areas - credential separately.
KS,2,Blue Cross and Blue Shield of Kansas City (Blue KC),blue-cross-and-blue-shield-of-kansas-city,Blue Cross and Blue Shield of Kansas City (Kansas City metro counties),"Independent BCBS licensee (Blue KC, Kansas City, MO)",commercial,commercial|medicare_advantage,,"No verified in-state percentage found; dominant commercial carrier within its KS service area (Johnson, Wyandotte, Leavenworth, Miami counties per 2026 marketplace filings; forhealthinsurance.com, 2026).",Second Kansas Blue licensee; service area is the KC metro on both sides of the state line (KS counties incl. Johnson and Wyandotte). Blue Medicare Advantage in metro. Minority partner in Healthy Blue KanCare JV. Distinct payer ID/credentialing from BCBSKS.
KS,3,UnitedHealthcare,unitedhealthcare,UnitedHealthcare (incl. UnitedHealthcare Community Plan of Kansas),UnitedHealth Group,commercial,commercial|medicare_advantage|managed_medicaid,,"No verified KS-specific percentage; largest national carrier by commercial + MA presence in KS (AMA Competition in Health Insurance context, 2023-2024 editions). unverified: model knowledge for exact rank position.",KanCare incumbent MCO re-awarded for 2025-2027; large employer ASO book (incl. UMR); Medicare Advantage statewide; on the 2026 KS marketplace.
KS,4,Sunflower Health Plan,sunflower-health-plan,,Centene Corporation,medicaid_mco,managed_medicaid|commercial|medicare_advantage,,"One of three KanCare MCOs splitting ~458k enrollees (KDHE, 2024); per-plan split not published in sources reviewed.",KanCare incumbent MCO re-awarded 2025-2027. Centene's KS marketplace product is Ambetter from Sunflower Health Plan; Centene MA sold under Wellcare brand. Credentialing typically flows through Centene/Sunflower.
KS,5,Healthy Blue Kansas,healthy-blue-kansas,,"Elevance Health (majority, via Anthem Partnership Holding Co.) with BCBS of Kansas and Blue KC as minority partners",medicaid_mco,managed_medicaid,,"New KanCare MCO effective Jan 1, 2025, replacing Aetna Better Health of Kansas (KDHE announcement, 2024); absorbed former Aetna membership by default assignment.",Medicaid-only JV; ~90% Elevance-owned per bid-protest filings. Do not confuse with either Kansas Blue licensee's commercial products - separate credentialing.
KS,6,Aetna (CVS Health),aetna,,CVS Health,commercial,commercial|medicare_advantage,,"unverified: model knowledge (national carrier with KS commercial group + MA book; lost KanCare Medicaid effective 12/31/2024 per KDHE, 2024).","Aetna Better Health of Kansas exited KanCare Jan 1, 2025 - Medicaid line now closed in KS; commercial and MA continue."
KS,7,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage,,unverified: model knowledge (Humana is a top-2 MA carrier nationally with ~20% of MA enrollment per KFF 2026; KS-specific MA split not found in sources reviewed).,"MA-focused in Kansas (Wichita, KC metro, and rural PPO counties). No KS Medicaid or meaningful commercial group book."
KS,8,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,"On the 2026 Kansas HealthCare.gov marketplace (forhealthinsurance.com, 2026); employer ASO presence unverified: model knowledge.",Primarily employer ASO/national accounts plus 2026 individual marketplace entry. Cigna's MA book was sold to HCSC (closed 2025) - MA under Cigna brand transitioning.
KS,9,Oscar Health,oscar-health,,"Oscar Health, Inc.",commercial,commercial,,"2026 Kansas marketplace entrant (forhealthinsurance.com, 2026); enrollment small relative to incumbents.",Individual/exchange only. Low covered-lives ranking - included as an active marketplace medical carrier; may be displaced from a strict top-10 by TRICARE lives.
KS,10,TRICARE West (TriWest),tricare-west,TriWest Healthcare Alliance (TRICARE West Region),TriWest Healthcare Alliance,tricare,tricare,,"Kansas is in the TRICARE West Region, administered by TriWest since Jan 1, 2025 (replacing Health Net Federal Services) - tricare.mil regional realignment notices, 2024-2025.","Significant covered lives around Fort Riley, Fort Leavenworth, and McConnell AFB. payer_kind has no tricare option; listed under commercial per instructions to pick dominant-line label - treat as TRICARE MCSC for credentialing."
KY,1,Anthem Blue Cross and Blue Shield of Kentucky (Elevance),anthem-blue-cross-and-blue-shield-of-kentucky,Anthem Blue Cross and Blue Shield Kentucky (Elevance),Elevance Health,commercial,commercial|medicare_advantage,,"Kentucky repeatedly flagged among the least-competitive commercial markets with the Blue (Anthem) as the dominant carrier (AMA Competition in Health Insurance, 2023-2024 editions); exact statewide all-lines percentage not published in sources reviewed.",Dominant commercial carrier (fully-insured + ASO/BlueCard). Exited KY Medicaid effective 1/1/2025 - Medicaid line closed; commercial + MA continue.
KY,2,Humana,humana,Humana (incl. Humana Healthy Horizons in Kentucky),"Humana Inc. (HQ Louisville, KY)",medicare_advantage,medicare_advantage|managed_medicaid|commercial|tricare,,"Humana is the hometown carrier and a national top-2 MA insurer (20% of national MA enrollment, KFF 2026); KY-specific MA share not published in sources reviewed - widely reported as the KY MA leader (unverified: model knowledge for the in-state number).","MA leader in KY; Humana Healthy Horizons is a KY Medicaid MCO (absorbed much of Anthem's exited membership Jan 2025); modest employer group book. Humana Military administers TRICARE East, which covers Kentucky (Fort Knox, Fort Campbell)."
KY,3,WellCare of Kentucky,wellcare-of-kentucky,,Centene Corporation,medicaid_mco,managed_medicaid|commercial|medicare_advantage,,"Largest KY Medicaid MCO by enrollment among the five plans serving ~1.5M enrollees (KY CHFS MCO materials, FY2024-FY2026 report cards); per-plan split not republished here - unverified: model knowledge for exact share.",Centene's KY flagship. Same corporate family sells Ambetter marketplace plans and Wellcare MA in KY.
KY,4,Passport Health Plan by Molina Healthcare,passport-health-plan-by-molina-healthcare,,Molina Healthcare,medicaid_mco,managed_medicaid|commercial,,One of five KY Medicaid MCOs (KY CHFS 2024-2026 MCO report cards); historically the major Louisville-region plan. Per-plan enrollment not verified.,Legacy Louisville provider-sponsored brand acquired by Molina (2020). Molina also sells KY marketplace plans. Credential under Molina/Passport.
KY,5,UnitedHealthcare,unitedhealthcare,UnitedHealthcare (incl. UnitedHealthcare Community Plan of Kentucky),UnitedHealth Group,commercial,commercial|medicare_advantage|managed_medicaid,,"unverified: model knowledge for in-state share; MCO status verified via KY CHFS 2024-2026 MCO lists; received reassigned Anthem Medicaid members Jan 2025 (news coverage, 2024).",Employer ASO + MA + Medicaid MCO (entered KY Medicaid 2021).
KY,6,Aetna (CVS Health),aetna,Aetna (CVS Health) (incl. Aetna Better Health of Kentucky),CVS Health,medicaid_mco,managed_medicaid|commercial|medicare_advantage,,KY Medicaid MCO verified via KY CHFS 2024-2026 MCO lists; commercial/MA book size unverified: model knowledge.,Medicaid MCO plus mid-size commercial group and MA books; dominant line in-state is the Medicaid contract.
KY,7,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge (national ASO presence in Louisville/Lexington employer market; no KY-specific published share found).,Employer ASO/national accounts. Cigna MA book sold to HCSC (2025).
KY,8,CareSource Kentucky,caresource-kentucky,,"CareSource (Dayton, OH nonprofit)",commercial,commercial,,unverified: model knowledge (CareSource sells KY individual marketplace plans; enrollment modest; no published KY share found in sources reviewed).,Marketplace/exchange plans in KY; no KY Medicaid contract (unlike its Ohio home market).
KY,9,TRICARE East (Humana Military),tricare-east,Humana Military (TRICARE East Region),Humana Inc.,tricare,tricare,,"Kentucky remains in the TRICARE East Region administered by Humana Military under the T-5 contract (tricare.mil regional realignment notices, 2024-2025).",Large covered-lives block around Fort Knox and Fort Campbell. Listed separately from Humana's MA/Medicaid entity because credentialing/networks differ; payer_kind label constrained to commercial.
KY,10,Ambetter from WellCare of Kentucky (Centene),ambetter-from-wellcare-of-kentucky,,Centene Corporation,commercial,commercial,,unverified: model knowledge (Centene marketplace brand active in KY; enrollment not separately published in sources reviewed).,Same parent as WellCare of Kentucky (rank 3) - separate product brand/network for credentialing; do not double-count lives at the parent level.
LA,1,Blue Cross and Blue Shield of Louisiana,blue-cross-and-blue-shield-of-louisiana,,Independent BCBS licensee (Baton Rouge; sale to Elevance abandoned Feb 2024 - remains independent),commercial,commercial|medicare_advantage,,"Dominant commercial carrier; LA consistently among the most Blue-concentrated commercial markets (AMA Competition in Health Insurance, 2023-2024 editions). ~1.9M members per BCBSLA corporate statements (lablue.com, 2023-2024). No single verified statewide all-lines percentage.","The $2.5B Elevance acquisition was withdrawn Feb 14, 2024 (Healthcare Dive/nola.com) - still an independent nonprofit as of mid-2026. Partner in the Healthy Blue Medicaid JV. Credential HMO Louisiana and Blue Advantage under BCBSLA."
LA,2,Humana,humana,Humana (incl. Humana Healthy Horizons in Louisiana),Humana Inc.,medicare_advantage,medicare_advantage|managed_medicaid|commercial,62,Share of Louisiana Medicare Advantage market reported at ~62% in nola.com coverage of the Peoples Health acquisition (2018 figure - dated; Humana remains the LA MA leader per NerdWallet/Forbes 2026 plan roundups but current share unverified).,LA MA leader; also a Healthy Louisiana Medicaid MCO (entered 2023 round). Treat the 62% as MA-line-only and dated.
LA,3,Louisiana Healthcare Connections,louisiana-healthcare-connections,,Centene Corporation,medicaid_mco,managed_medicaid|commercial|medicare_advantage,,Historically the largest Healthy Louisiana MCO by enrollment (LDH managed-care enrollment reports; per-plan split not republished here - unverified: model knowledge for exact share).,Centene's LA flagship Medicaid plan; Ambetter marketplace and Wellcare MA share the parent.
LA,4,AmeriHealth Caritas Louisiana,amerihealth-caritas-louisiana,,AmeriHealth Caritas (Independence Blue Cross/Blue Cross family),medicaid_mco,managed_medicaid,,"One of the five 2026 Healthy Louisiana MCOs (LDH, 2025-2026); per-plan enrollment not verified in sources reviewed.",Medicaid-only in LA; long-tenured incumbent since 2012.
LA,5,Healthy Blue Louisiana,healthy-blue-louisiana,,Joint venture of Blue Cross and Blue Shield of Louisiana and Elevance Health (Anthem/Amerigroup),medicaid_mco,managed_medicaid|medicare_advantage,,"One of the five 2026 Healthy Louisiana MCOs (LDH, 2025-2026); per-plan enrollment not verified.",Medicaid brand distinct from BCBSLA commercial - separate credentialing/provider portal (healthybluela.com).
LA,6,UnitedHealthcare,unitedhealthcare,UnitedHealthcare (incl. Peoples Health parent lines),UnitedHealth Group,commercial,commercial|medicare_advantage,,"Exited LA Medicaid effective Dec 31, 2025 (LDH announcement, 2025); commercial ASO + UHC-branded MA continue - in-state share unverified: model knowledge.","Combined with Peoples Health (below), UHG is the #2 MA parent in LA. UHC Community Plan of Louisiana Medicaid line closed 12/31/2025."
LA,7,Peoples Health (UnitedHealth Group),peoples-health,,UnitedHealth Group (acquired 2018),medicare_advantage,medicare_advantage,,"#2 MA plan in Louisiana with 63,000+ members at acquisition (nola.com/theadvocate.com, 2018); still marketed as a distinct UHC Community Plan MA/D-SNP brand for 2025-2026 (uhc.com plan pages).",New Orleans-based MA brand; credentialed separately from UHC commercial in many groups' experience - listed as its own operating name per instructions.
LA,8,Aetna (CVS Health),aetna,Aetna (CVS Health) (incl. Aetna Better Health of Louisiana),CVS Health,medicaid_mco,managed_medicaid|commercial|medicare_advantage,,"One of the five 2026 Healthy Louisiana MCOs (LDH, 2025-2026); commercial/MA books smaller - unverified: model knowledge for in-state totals.",Dominant LA line is the Medicaid MCO contract; also sells MA and employer coverage.
LA,9,Vantage Health Plan,vantage-health-plan,,"Vantage Holdings (Monroe, LA; affiliated with Affinity Health Group)",medicare_advantage,medicare_advantage|commercial,6,"~6% of the Louisiana Medicare Advantage market (nola.com Peoples Health acquisition coverage, 2018 figure - dated; MA-line-only).",North-Louisiana regional carrier (Monroe); MA plus small commercial/marketplace book.
LA,10,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge (employer ASO presence in New Orleans/Baton Rouge markets; no LA-specific published share found).,"ASO/national accounts. Note: Louisiana moved to the TRICARE West Region under TriWest on Jan 1, 2025 (tricare.mil) - TriWest is a further credentialing-relevant payer for Fort Johnson/Barksdale AFB catchments just outside this top 10."
MA,1,Blue Cross Blue Shield of Massachusetts,blue-cross-blue-shield-of-massachusetts,,Blue Cross Blue Shield of Massachusetts (independent licensee),commercial,commercial|medicare_advantage,,No single verified all-lines % from searches; $9.7B premium in 2024 (Becker's/statutory filings) and consistently the largest MA commercial insurer in AMA Competition in Health Insurance editions. Roughly 3M members including ASO.,"Dominant commercial payer (fully-insured + large ASO book); also Medex supplement and MA plans (7 MA plans, 4.5-star 2026). Single largest credentialing target in the state."
MA,2,Point32Health (Harvard Pilgrim Health Care + Tufts Health Plan),point32health,,Point32Health,commercial,commercial|medicare_advantage|managed_medicaid,,"No verified % from searches; ~2M members across brands (company reporting, some in NH/ME). Clear #2 in MA commercial per AMA/state CHIA data pattern.","Two legacy networks/credentialing tracks (Harvard Pilgrim commercial; Tufts commercial + Tufts Medicare Preferred, one of the largest MA plans in the state). Tufts Health Together MCO plan ended 1/1/2026; ACO partnership plans continue."
MA,3,WellSense Health Plan (Boston Medical Center Health System),wellsense-health-plan,,Boston Medical Center Health System,medicaid_mco,managed_medicaid|commercial,,"No verified % from searches; largest MassHealth managed-care plan by lives (fronts the WellSense MCO plan plus multiple ACO partnership plans - Care Alliance, Community Alliance, Mercy Alliance, Signature Alliance; verified via mass.gov/wellsense.org 2024-2026).",Rebranded from BMC HealthNet Plan in 2022. Largest Medicaid book in the state (also operates in NH). ConnectorCare/QHP presence. High-volume credentialing payer for safety-net providers.
MA,4,UnitedHealthcare,unitedhealthcare,,UnitedHealth Group,commercial,commercial|medicare_advantage,,unverified: model knowledge - large national-account ASO lives plus MA plans; not among the top 2 fully-insured carriers in MA state data.,Presence is mostly self-funded employer (ASO) plus Medicare Advantage; modest fully-insured share in this locally-dominated market.
MA,5,Mass General Brigham Health Plan,mass-general-brigham-health-plan,,Mass General Brigham,commercial,commercial|managed_medicaid,,unverified: model knowledge - roughly 300-450k members per plan/press reporting; provider-owned plan.,Renamed from AllWays Health Partners in 2023. Commercial (incl. GIC offering) plus MassHealth ACO participation (My Care Family with Lawrence General historically).
MA,6,Fallon Health,fallon-health,,Fallon Health (independent nonprofit),commercial,commercial|medicare_advantage|managed_medicaid,,unverified: model knowledge - ~200k members concentrated in Central MA.,Central-Massachusetts regional; significant Senior Care Options (NaviCare) and PACE (Summit ElderCare) books - duals credentialing relevant.
MA,7,Health New England,health-new-england,,Baystate Health,commercial,commercial|medicare_advantage|managed_medicaid,,"unverified: model knowledge - ~180k members, western MA regional.","Dominant in the Springfield/western MA market; commercial, Medicare Advantage, and MassHealth ACO (BeHealthy Partnership)."
MA,8,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge - ASO-heavy national-account book; named among major MA insurers in mass.gov merged-market materials.,Almost entirely self-funded employer business in MA; no Medicaid; minimal individual market.
MA,9,UniCare (Elevance Health),unicare,,Elevance Health,commercial,commercial,,unverified: model knowledge - UniCare State Indemnity Plan serves a large share of the ~440k-life MA Group Insurance Commission (state/municipal employee) population.,Elevance's non-Blue MA vehicle (BCBSMA holds the Blue license). Effectively a single-client (GIC) payer but a large one; distinct credentialing/network.
MA,10,Commonwealth Care Alliance,commonwealth-care-alliance,,Commonwealth Care Alliance (nonprofit),medicare_advantage,medicare_advantage|managed_medicaid,,"unverified: model knowledge - duals-focused plan (One Care + Senior Care Options), tens of thousands of members but outsized revenue/utilization.",Duals specialist (MMP/D-SNP-equivalent). Aetna (CVS) and Humana MA books are of comparable size just below this cut.
MD,1,CareFirst BlueCross BlueShield,carefirst-bluecross-blueshield,CareFirst BlueCross BlueShield (MD),"CareFirst, Inc. (independent BCBS licensee for MD, DC, N. Virginia)",commercial,commercial|managed_medicaid|medicare_advantage,43,"43% of the Maryland commercial market as the state's largest commercial insurer (Becker's Payer Issues largest-commercial-insurer-by-state compilation from AMA Competition in Health Insurance data, 2024); ~3.5M members across the Mid-Atlantic region (CareFirst corporate, 2024-2026).","Dominant across individual, small and large group; HealthChoice MCO via CareFirst CHP MD; MA products. Credential BlueChoice HMO, PPO, Medicaid, and MA lines separately."
MD,2,Kaiser Permanente Mid-Atlantic States,kaiser-permanente-mid-atlantic-states,Kaiser Permanente (Kaiser Foundation Health Plan of the Mid-Atlantic States),"Kaiser Foundation Health Plan, Inc.",commercial,commercial|managed_medicaid|medicare_advantage,,"#2 commercial carrier in the MD/DC/NoVA region (AMA Competition in Health Insurance MSA-level data, 2023-2024 editions); MD-only percentage not published in sources reviewed.",Closed-panel HMO (Mid-Atlantic Permanente Medical Group) - external credentialing opportunities limited to contracted community providers. Also a HealthChoice MCO and MA carrier.
MD,3,UnitedHealthcare,unitedhealthcare,UnitedHealthcare (incl. UnitedHealthcare Community Plan of Maryland),UnitedHealth Group,commercial,commercial|medicare_advantage|managed_medicaid,,unverified: model knowledge for in-state share (large national-account/ASO block in the Baltimore-Washington market plus MA and a HealthChoice MCO - MCO status verified via Maryland DOH 2025-2026 MCO list).,Commercial ASO is the dominant line; HealthChoice MCO and MA also active.
MD,4,Priority Partners (Johns Hopkins Health Plans),priority-partners,,Johns Hopkins Medicine (JV with Maryland Community Health System),medicaid_mco,managed_medicaid,,Historically the largest HealthChoice MCO by enrollment (Maryland DOH / Hilltop Institute HealthChoice enrollment reports; exact 2025 split not republished - unverified: model knowledge for the current number).,"New-member enrollment paused 3/17-5/16/2025 due to NCQA accreditation suspension (since resumed). Sibling Johns Hopkins Health Plans products - Advantage MD (MA), EHP (self-funded), US Family Health Plan (TRICARE) - share the Hopkins provider network but credential separately."
MD,5,Maryland Physicians Care,maryland-physicians-care,,"JV of Maryland hospital systems (incl. Ascension Saint Agnes, LifeBridge Health, Trinity Health/Holy Cross)",medicaid_mco,managed_medicaid,,Second-largest HealthChoice MCO by enrollment (Maryland DOH/Hilltop HealthChoice enrollment reporting; exact current split unverified: model knowledge).,"Medicaid-only, statewide."
MD,6,Wellpoint Maryland (Elevance),wellpoint-maryland,,"Elevance Health (renamed from Amerigroup Community Care, 2024)",medicaid_mco,managed_medicaid,,"Major HealthChoice MCO (Maryland DOH 2025-2026 MCO list; Wellpoint member/provider materials, 2025); enrollment split unverified.",Rebrand from Amerigroup - legacy Amerigroup payer IDs/contracts may persist; confirm entity name on credentialing paperwork.
MD,7,Aetna (CVS Health),aetna,Aetna (CVS Health) (incl. Aetna Better Health of Maryland),CVS Health,commercial,commercial|medicare_advantage|managed_medicaid,,unverified: model knowledge for in-state share; HealthChoice MCO status verified via Maryland DOH 2025-2026 MCO list.,Commercial group/ASO plus MA and a mid-size HealthChoice MCO; also administers Innovation Health-style products regionally.
MD,8,MedStar Family Choice,medstar-family-choice,,MedStar Health,medicaid_mco,managed_medicaid|medicare_advantage,,HealthChoice MCO (Maryland DOH 2025-2026 MCO list); enrollment split unverified: model knowledge.,Provider-sponsored (MedStar system); MedStar also sells MA under MedStar Medicare Choice.
MD,9,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge (meaningful ASO/national-accounts block in the Baltimore-Washington corridor; no MD-specific published share found).,Employer ASO; Cigna's MA book sold to HCSC (closed 2025).
MD,10,TRICARE East (Humana Military),tricare-east,Humana / Humana Military (TRICARE East Region),Humana Inc.,medicare_advantage,medicare_advantage|tricare,,"Maryland remains in the TRICARE East Region administered by Humana Military under T-5 (tricare.mil regional realignment notices, 2024-2025); Humana MA presence in MD is modest - unverified: model knowledge for MA share.","Large TRICARE population (Fort Meade, Joint Base Andrews, NSA Bethesda/Walter Reed catchment) plus an MA book. Jai Medical Systems (small Baltimore HealthChoice MCO) is the notable payer just outside this top 10."
ME,1,Anthem Blue Cross and Blue Shield of Maine (Elevance),anthem-blue-cross-and-blue-shield-of-maine,Anthem Blue Cross and Blue Shield in Maine (Elevance),Elevance Health (Anthem Health Plans of Maine),commercial,commercial|medicare_advantage,50,"Over 50% of CoverME.gov individual-market enrollees and ~57% of the small-group market (forhealthinsurance.com Maine carrier comparison, 2026, citing Maine Bureau of Insurance data); large-group/ASO leadership consistent with AMA study concentration findings.",The state's Blue licensee and largest carrier across commercial lines; also sells MA. Was in a high-profile network dispute with MaineHealth (resolved) - watch network participation by system.
