payer_slug,name,parent_org,payer_kind,lobs,states,state_count,aliases,clearinghouse_payer_id,payer_id_scope,stedi_slug,enrollment_required,id_source
blue-cross-and-blue-shield-of-nebraska,Blue Cross and Blue Shield of Nebraska,Blue Cross and Blue Shield of Nebraska (independent licensee),commercial,commercial|medicare_advantage,NE,1,BCBSNE|Regency (BCBSNE MA brand),00760,per_state,,,lerasign.com/payer-id/ne-bcbs-00760; claim.md/payer/00760; quickintell.com/payers/bcbs-nebraska (alias CBNE1)
blue-cross-and-blue-shield-of-new-mexico,Blue Cross and Blue Shield of New Mexico (HCSC),Health Care Service Corporation,commercial,commercial|managed_medicaid|medicare_advantage,NM,1,BCBSNM|Blue Cross Community Centennial (legacy Medicaid brand)|Blue Cross Medicare Advantage|Blue Cross Turquoise Care,00790,per_state,,,"Availity 837 PDF: BCBS TEXAS 84980, BCBS ILLINOIS 00621, BCBS OKLAHOMA 00840, BCBS NEW MEXICO 00790, BCBS MONTANA 00751"
blue-cross-and-blue-shield-of-north-carolina,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina (independent licensee),commercial,commercial|managed_medicaid|medicare_advantage,NC,1,"BCBSNC|Blue Cross NC|Blue Home|Experience Health (MA JV with Duke Health)|Healthy Blue (Medicaid, with Elevance)",SB810,per_state,,,claim.md/payer/SB810/NC; practice.mbpractice.com PayerInfo?payerId=SB810 (NC BCBS)
blue-cross-and-blue-shield-of-oklahoma,Blue Cross and Blue Shield of Oklahoma,Health Care Service Corporation (HCSC),commercial,commercial|medicare_advantage,OK,1,BCBS of Oklahoma|BCBSOK|HCSC Oklahoma,00840,per_state,,,"Availity 837 PDF: BCBS TEXAS 84980, BCBS ILLINOIS 00621, BCBS OKLAHOMA 00840, BCBS NEW MEXICO 00790, BCBS MONTANA 00751"
blue-cross-and-blue-shield-of-texas,Blue Cross and Blue Shield of Texas (HCSC),Health Care Service Corporation,commercial,commercial|managed_medicaid|medicare_advantage,TX,1,BCBSTX|Blue Advantage HMO|MyBlue Health,84980,per_state,,,"Availity 837 PDF: BCBS TEXAS 84980, BCBS ILLINOIS 00621, BCBS OKLAHOMA 00840, BCBS NEW MEXICO 00790, BCBS MONTANA 00751"
blue-cross-and-blue-shield-of-vermont,Blue Cross and Blue Shield of Vermont,Blue Cross Blue Shield of Michigan (affiliation completed 2023),commercial,commercial|medicare_advantage,VT,1,BCBSVT|The Vermont Health Plan (TVHP)|Vermont Blue Advantage,SB915,per_state,,,"claim.md/payer/sb915 (aliases BCBSVT, 700, 12B32, VT_BLUE_ADV)"
blue-cross-blue-shield-of-arizona,Blue Cross Blue Shield of Arizona,Blue Cross Blue Shield of Arizona (independent licensee),commercial,commercial|managed_medicaid|medicare_advantage,AZ,1,AZ Blue|Blue Medicare Advantage|Health Choice Arizona (Medicaid subsidiary),BCBSAZ,per_state,,,Availity 837 PDF (BCBS ARIZONA BCBSAZ)
blue-cross-blue-shield-of-massachusetts,Blue Cross Blue Shield of Massachusetts,Blue Cross Blue Shield of Massachusetts (independent licensee),commercial,commercial|medicare_advantage,MA,1,BCBSMA|Blue Cross MA,SB700,per_state,,,Availity 837 PDF (BCBS MASSACHUSETTS SB700)
blue-cross-blue-shield-of-michigan,Blue Cross Blue Shield of Michigan (incl. Blue Care Network),Blue Cross Blue Shield of Michigan Mutual,commercial,commercial|managed_medicaid|medicare_advantage,MI,1,BCBSM|BCN|Blue Care Network (HMO)|Medicare Plus Blue,00710,per_state,,,Availity 837 PDF (BCBS MICHIGAN AND BLUE CARE NETWORK 00710)
blue-cross-blue-shield-of-north-dakota,Blue Cross Blue Shield of North Dakota (Noridian Mutual Insurance Company),Noridian Mutual Insurance Company (independent BCBS licensee),commercial,commercial|managed_medicaid|medicare_advantage,ND,1,BCBSND|BCBSND Medicaid Expansion|HealthyDakota Mutual Holdings|Noridian Mutual,55891,per_state,,,Availity 837 PDF (BCBS NORTH DAKOTA 55891)
blue-cross-blue-shield-of-wyoming,Blue Cross Blue Shield of Wyoming,Blue Cross Blue Shield of Wyoming (independent licensee),commercial,commercial|medicare_advantage,WY,1,BCBSWY,53767,per_state,,,Availity 837 PDF (BCBS WYOMING 53767)
blue-cross-complete-of-michigan,Blue Cross Complete of Michigan,BCBSM / AmeriHealth Caritas joint venture,medicaid_mco,managed_medicaid,MI,1,BCC,,,,,
blue-cross-of-idaho,Blue Cross of Idaho,"Blue Cross of Idaho Health Service, Inc. (independent BCBSA licensee)",commercial,commercial|medicare_advantage,ID,1,BCI|Blue Cross of Idaho Care Plus|True Blue (MA),BLUEC,per_state,,,"providers.bcidaho.com EDI page (search summary: 'enter BLUEC as the payer ID for professional, institutional and dental claims')"
blue-shield-of-california,Blue Shield of California,Blue Shield of California (nonprofit; independent licensee),commercial,commercial|managed_medicaid|medicare_advantage,CA,1,Blue Shield Promise Health Plan (Medi-Cal/D-SNP),94036,per_state,blue-shield-of-california,,claim.md/payer/94036; practice.mbpractice.com payerId=94036; Stedi payer page indexed at stedi.com/healthcare/network/blue-shield-of-california
bluecross-blueshield-of-south-carolina,BlueCross BlueShield of South Carolina,Independent BCBS licensee (also parent of BlueChoice HealthPlan),commercial,commercial|medicare_advantage,SC,1,BCBS SC|BlueChoice HealthPlan (subsidiary),00401,per_state,,,claim.md/payer/00401/SC BCBS.html
bluecross-blueshield-of-tennessee,BlueCross BlueShield of Tennessee,"BlueCross BlueShield of Tennessee, Inc. (independent licensee)",commercial,commercial|managed_medicaid|medicare_advantage,TN,1,BCBST|BlueAdvantage|BlueCare Plus|BlueCare Tennessee|TennCare Select,00390,per_state,,,"claim.md/payer/00390/TN (aliases SB890/SB891/SB892, 00890, BlueCare/TennCare Select)"
braven-health,Braven Health,JV: Horizon BCBSNJ + Hackensack Meridian Health + RWJBarnabas Health,medicare_advantage,medicare_advantage,NJ,1,Braven Medicare,,,,,
buckeye-health-plan,Buckeye Health Plan (Centene),Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,OH,1,Ambetter from Buckeye Health Plan (exchange)|Buckeye MyCare Ohio|Wellcare by Allwell / Wellcare (MA),68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
capital-blue-cross,Capital Blue Cross,Independent Blue licensee (Capital Blue Cross),commercial,commercial|medicare_advantage,PA,1,Capital Advantage Assurance Company|Capital BlueCross,23045,per_region,,,claim.md/payer/23045; lerasign.com/payer-id/capital-blue-cross-23045; quickintell.com/payers/capital-blue-cross
care1st-health-plan-arizona,Care1st Health Plan Arizona (Centene),Centene Corporation (WellCare family),medicaid_mco,managed_medicaid,AZ,1,Care1st Arizona,,,,,
careoregon,CareOregon (incl. Columbia Pacific CCO and Jackson Care Connect),CareOregon (nonprofit; SCAN Group merger terminated 2024),medicaid_mco,managed_medicaid|medicare_advantage,OR,1,CareOregon Advantage|Columbia Pacific CCO|Jackson Care Connect,,,,,
carepartners-of-connecticut,CarePartners of Connecticut (Point32Health / Hartford HealthCare JV),Point32Health (JV with Hartford HealthCare),medicare_advantage,medicare_advantage,CT,1,,,,,,
caresource-georgia,CareSource Georgia,"CareSource (nonprofit, Dayton OH)",medicaid_mco,commercial|managed_medicaid,GA,1,CareSource Georgia Co.,GACS1,per_state,,,Availity 837 PDF (CARESOURCE OHIO / Medicaid / MyCare / Marketplace all 31114)
caresource-indiana,CareSource Indiana,"CareSource (Dayton, OH nonprofit)",medicaid_mco,commercial|managed_medicaid|medicare_advantage,IN,1,CareSource D-SNP|CareSource Marketplace,INCS1,per_state,,,Availity 837 PDF (CARESOURCE OHIO / Medicaid / MyCare / Marketplace all 31114)
caresource-kentucky,CareSource Kentucky,"CareSource (Dayton, OH nonprofit)",commercial,commercial,KY,1,CareSource Kentucky Co.,KYCS1,per_state,,,Availity 837 PDF (CARESOURCE OHIO / Medicaid / MyCare / Marketplace all 31114)
caresource-nevada,CareSource Nevada,"CareSource (nonprofit, Dayton OH)",medicaid_mco,managed_medicaid,NV,1,CareSource NV,,,,,
caresource-ohio,CareSource Ohio,CareSource Management Group (Dayton-based non-profit),medicaid_mco,commercial|managed_medicaid|medicare_advantage,OH,1,"CareSource D-SNP|CareSource Marketplace|CareSource MyCare Ohio|CareSource Ohio, Inc.",31114,per_state,,,Availity 837 PDF (CARESOURCE OHIO / Medicaid / MyCare / Marketplace all 31114)
caresource-passe,CareSource PASSE,CareSource (with Arkansas provider partners),medicaid_mco,managed_medicaid,AR,1,,ARCS1,per_state,,,Availity 837 PDF (CARESOURCE OHIO / Medicaid / MyCare / Marketplace all 31114)
caresource-west-virginia,CareSource West Virginia (marketplace),CareSource,commercial,commercial,WV,1,CareSource West Virginia Co.,WVCS1,per_state,,,Availity 837 PDF (CARESOURCE OHIO / Medicaid / MyCare / Marketplace all 31114)
centene,Centene (Home State Health / Ambetter of Missouri / Wellcare),"Centene Corporation (HQ: St. Louis, MO)",medicaid_mco,commercial|managed_medicaid|medicare_advantage,MO,1,Ambetter of Missouri|Home State Health|Show Me Healthy Kids|Wellcare (MA),,,,,
chorus-community-health-plans,Chorus Community Health Plans (Children's Wisconsin),Children's Wisconsin,medicaid_mco,commercial|managed_medicaid,WI,1,CCHP|Children's Community Health Plan (legacy name),,,,,
clover-health,Clover Health,Clover Health Investments,medicare_advantage,medicare_advantage,NJ,1,Clover Health of New Jersey,,,,,
colorado-access,Colorado Access,Colorado Access (nonprofit),medicaid_mco,managed_medicaid,CO,1,CO Access,,,,,
commonwealth-care-alliance,Commonwealth Care Alliance,Commonwealth Care Alliance (nonprofit),medicare_advantage,managed_medicaid|medicare_advantage,MA,1,CCA|CCA One Care|CCA Senior Care Options,,,,,
community-health-choice,Community Health Choice (TX),Harris Health System (Harris County),medicaid_mco,commercial|managed_medicaid,TX,1,CHC Texas,48145,per_region,,,practice.mbpractice.com PayerInfo?payerId=48145 (Community Health Choice)
community-health-options,Community Health Options,"Independent CO-OP (Lewiston, ME)",commercial,commercial,ME,1,CHO|Maine Community Health Options,,,,,
community-health-plan-of-washington,Community Health Plan of Washington,Washington Association for Community Health (community health centers),medicaid_mco,managed_medicaid|medicare_advantage,WA,1,CHPW|CHPW Medicare Advantage (D-SNP),CHPWA,per_state,,,Availity 837 PDF (COMMUNITY HEALTH PLAN OF WASHINGTON CHPWA)
communitycare-of-oklahoma,CommunityCare of Oklahoma,JV of Saint Francis Health System and Ascension St. John (Tulsa),commercial,commercial|medicare_advantage,OK,1,CommunityCare HMO|CommunityCare Senior Health Plan,,,,,
connecticare,ConnectiCare (Molina Healthcare),"Molina Healthcare (acquired from EmblemHealth, closed Feb 2025)",commercial,commercial|medicare_advantage,CT,1,ConnectiCare Benefits|ConnectiCare Insurance Company,,,,,
coordinated-care-of-washington,Coordinated Care of Washington (Centene),Centene Corporation,medicaid_mco,commercial|managed_medicaid,WA,1,Ambetter from Coordinated Care (marketplace)|Apple Health Core Connections (foster care contract),68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
countycare-health-plan,CountyCare Health Plan (Cook County Health),Cook County Health & Hospitals System,medicaid_mco,managed_medicaid,IL,1,,,,,,
cox-healthplans,Cox HealthPlans,"CoxHealth (Springfield, MO)",commercial,commercial,MO,1,Cox Health Systems Insurance Company,,,,,
dean-health-plan-by-medica,Dean Health Plan by Medica,Medica (Dean merged into Medica 2021; SSM Health remains the provider partner),commercial,commercial|managed_medicaid|medicare_advantage,WI,1,"Dean Health Plan|Medica|Prevea360 Health Plan (Dean affiliate, NE/W WI)",39113,per_region,,,Availity 837 PDF (DEAN HEALTH PLAN 39113; DEAN HEALTH PLANS 41822; Prevea360 41822)
delaware-first-health,Delaware First Health (Centene),Centene Corporation,medicaid_mco,managed_medicaid,DE,1,,,,,,Centene plans generally consolidate on 68069 — verify per plan
denver-health-medical-plan,Denver Health Medical Plan (Elevate Health Plans),Denver Health and Hospital Authority,medicaid_mco,commercial|managed_medicaid|medicare_advantage,CO,1,Elevate Medicaid Choice|Elevate by Denver Health,,,,,
ebms,EBMS (Employee Benefit Management Services),"EBMS (independent TPA, Billings MT)",commercial,commercial,MT,1,miBenefits (EBMS),,,,,
emblemhealth,EmblemHealth (GHI / HIP),"EmblemHealth, Inc.",commercial,commercial|managed_medicaid|medicare_advantage,NY,1,"EmblemHealth Plan, Inc.|GHI|HIP Health Plan of New York|Vytra",13551,per_region,,,claim.md/payer/13551 (Emblem Health GHI New York Group Health Inc); emblemhealth.com guide (search summary: 'Electronic Payer ID is 13551')
emi-health,EMI Health,Educators Mutual Insurance Association,commercial,commercial,UT,1,Educators Mutual,,,,,
empower-healthcare-solutions,Empower Healthcare Solutions,Provider-led consortium (incl. Beacon/Carelon heritage partners),medicaid_mco,managed_medicaid,AR,1,Empower PASSE,,,,,
essence-healthcare,Essence Healthcare (Lumeris),Lumeris,medicare_advantage,medicare_advantage,MO,1,Essence,,,,,
excellus-bluecross-blueshield,Excellus BlueCross BlueShield (upstate NY),Excellus BCBS (Lifetime Healthcare Companies),commercial,commercial|managed_medicaid|medicare_advantage,NY,1,BlueCross BlueShield of Central New York / Rochester / Utica-Watertown regions|Excellus Health Plan|Univera Healthcare (WNY affiliate),00804,per_region,,,claim.md/payer/00804 (Rochester area); practice.mbpractice.com payerId=00806 (Utica-Watertown); SimplePractice notes 3 IDs by county
fallon-health,Fallon Health,Fallon Health (independent nonprofit),commercial,commercial|managed_medicaid|medicare_advantage,MA,1,Fallon 365 Care|Fallon Community Health Plan|Fallon Medicare Plus|NaviCare (SCO),,,,,
farm-bureau-health-plans,Farm Bureau Health Plans (Tennessee),Tennessee Farm Bureau,commercial,commercial,TN,1,FB Health Plans|TRH Health Plans (legacy),,,,,
fidelis-care,Fidelis Care (Centene),Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,NY,1,Ambetter from Fidelis Care (exchange)|Fidelis Care at Home|Wellcare by Fidelis Care (MA),,,,,Centene plans generally consolidate on 68069 — verify per plan; WellCare-branded plans differ (14163/11315)
fidelis-care-new-jersey,Fidelis Care New Jersey (Centene),Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,NJ,1,Ambetter from WellCare of NJ|WellCare of New Jersey (former name)|Wellcare (Centene MA brand),,,,,Centene plans generally consolidate on 68069 — verify per plan; WellCare-branded plans differ (14163/11315)
first-choice-by-select-health-of-south-carolina,First Choice by Select Health of South Carolina,AmeriHealth Caritas,medicaid_mco,managed_medicaid,SC,1,First Choice|Select Health of SC,,,,,
florida-blue,Florida Blue (GuideWell),GuideWell Mutual Holding Corporation,commercial,commercial|medicare_advantage,FL,1,Blue Cross and Blue Shield of Florida|Florida Blue Medicare|Truli for Health,00590,per_state,,,Availity 837 PDF (FLORIDA BLUE (BCBS FLORIDA) 00590)
geha,GEHA,Government Employees Health Association,commercial,commercial,AK,1,,,,,,
geisinger-health-plan,Geisinger Health Plan,Geisinger (Risant Health / Kaiser Foundation Hospitals),commercial,commercial|managed_medicaid|medicare_advantage,PA,1,GHP|GHP Family|Geisinger Gold,75273,per_region,,,"geisinger.org claims-and-e-transactions (search summary: 'For AllScripts, Availity or Experian use GHP Payer ID #75273'); claim.md/payer/75273"
globalhealth,GlobalHealth,"GlobalHealth Holdings, LLC",medicare_advantage,commercial|medicare_advantage,OK,1,GlobalHealth Medicare Advantage,,,,,
great-plains-medicare-advantage,Great Plains Medicare Advantage,Great Plains Health Plan (regional; parent affiliation unverified),medicare_advantage,medicare_advantage,SD,1,,,,,,
health-alliance-wound-down,Health Alliance (Carle Health) — WOUND DOWN,Carle Health,commercial,commercial|medicare_advantage,IL,1,Health Alliance Medical Plans,,,,,
health-alliance-plan,Health Alliance Plan (Henry Ford Health),Henry Ford Health,commercial,commercial|managed_medicaid|medicare_advantage,MI,1,Alliance Health and Life|HAP|HAP CareSource (Medicaid JV)|HAP Empowered,,,,,
health-choice-utah,Health Choice Utah,Blue Cross Blue Shield of Arizona (acquired Health Choice from Steward),medicaid_mco,managed_medicaid,UT,1,,,,,,
health-net,Health Net (Centene),Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,CA,1,CalViva Health (administered)|Health Net Community Solutions|Health Net of California,,,,,Centene; California Health & Wellness 68047 seen — verify per plan
health-new-england,Health New England,Baystate Health,commercial,commercial|managed_medicaid|medicare_advantage,MA,1,BeHealthy Partnership (MassHealth ACO with Baystate)|HNE,,,,,
health-plan-of-nevada-sierra-health-and-life,Health Plan of Nevada / Sierra Health and Life (UnitedHealthcare),UnitedHealth Group,commercial,commercial|managed_medicaid|medicare_advantage,NV,1,HPN|Senior Dimensions (MA)|Sierra Health and Life|UnitedHealthcare Nevada,,,,,
health-share-of-oregon,Health Share of Oregon,"Nonprofit CCO (plan partners incl. CareOregon, Kaiser, Legacy/PacificSource, OHSU, Providence)",medicaid_mco,managed_medicaid,OR,1,Health Share,,,,,
healthchoice,HealthChoice (Oklahoma Office of Management and Enterprise Services / EGID),State of Oklahoma (Employees Group Insurance Division),commercial,commercial,OK,1,EGID|HealthChoice Oklahoma,,,,,
healthfirst,Healthfirst (NY),Healthfirst (hospital-sponsored non-profit; HF Management Services),medicaid_mco,commercial|managed_medicaid|medicare_advantage,NY,1,Healthfirst Essential Plan|Healthfirst Medicare Plan|Healthfirst PHSP,80141,per_state,,,claim.md/payer/80141/Healthfirst.html; quickintell.com/payers/healthfirst-ny
healthy-blue,Healthy Blue (Blue Cross NC + Amerigroup/Elevance partnership),Blue Cross NC in partnership with Elevance Health (Amerigroup),medicaid_mco,managed_medicaid,NC,1,Healthy Blue + Medicare (D-SNP)|Healthy Blue NC,00602,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
healthy-blue-kansas,Healthy Blue Kansas,"Elevance Health (majority, via Anthem Partnership Holding Co.) with BCBS of Kansas and Blue KC as minority partners",medicaid_mco,managed_medicaid,KS,1,Healthy Blue,,,,,
healthy-blue-louisiana,Healthy Blue Louisiana,Joint venture of Blue Cross and Blue Shield of Louisiana and Elevance Health (Anthem/Amerigroup),medicaid_mco,managed_medicaid|medicare_advantage,LA,1,Healthy Blue Dual Advantage|Healthy Blue LA,00661,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
healthy-blue-south-carolina,Healthy Blue South Carolina (BlueChoice HealthPlan),BlueChoice HealthPlan of South Carolina (BCBS SC subsidiary; historically administered in partnership with Amerigroup/Elevance),medicaid_mco,managed_medicaid,SC,1,BlueChoice HealthPlan Medicaid,00403,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
hennepin-health,Hennepin Health,Hennepin County / Hennepin Healthcare System,medicaid_mco,managed_medicaid,MN,1,Metropolitan Health Plan (legacy name),,,,,
highmark-blue-cross-blue-shield-highmark-blue-shield,Highmark Blue Cross Blue Shield / Highmark Blue Shield (incl. Highmark Wholecare),Highmark Health,commercial,commercial|managed_medicaid|medicare_advantage,PA,1,"Highmark Blue Shield (central PA)|Highmark Inc.|Highmark Wholecare (Medicaid, former Gateway Health)",54771,per_region,,,IBX/Highmark 'Payer ID provider number reference - Professional' PDFs surfaced in search: Highmark Blue Shield professional = 54771
highmark-blue-cross-blue-shield-delaware,Highmark Blue Cross Blue Shield Delaware,Highmark Health,commercial,commercial|managed_medicaid|medicare_advantage,DE,1,Highmark BCBSD|Highmark Delaware,,,,,
highmark-blue-cross-blue-shield-of-western-new-york,Highmark Blue Cross Blue Shield of Western New York,Highmark Health,commercial,commercial|managed_medicaid|medicare_advantage,NY,1,BlueCross BlueShield of Western New York|HealthNow New York|Highmark Blue Shield of Northeastern New York (Albany-region sister licensee),00246,per_region,,,IBX/Highmark 'Payer ID provider number reference - Professional' PDFs surfaced in search: Highmark Blue Shield professional = 54771 | Medicaid/CHP ID per Availity list
highmark-blue-cross-blue-shield-west-virginia,Highmark Blue Cross Blue Shield West Virginia,Highmark Health,commercial,commercial|managed_medicaid|medicare_advantage,WV,1,Freedom Blue PPO (MA)|Highmark Health Options West Virginia (Medicaid affiliate)|Mountain State Blue Cross Blue Shield (legacy name),,,,,
highmark-health-options-delaware,Highmark Health Options Delaware,Highmark Health,medicaid_mco,managed_medicaid,DE,1,Health Options,,,,,
highmark-health-options-west-virginia,Highmark Health Options West Virginia,Highmark Health,medicaid_mco,managed_medicaid,WV,1,HHOWV,,,,,
hmaa,HMAA (Hawaii Medical Assurance Association),HMAA,commercial,commercial,HI,1,Hawaii Medical Assurance Association,,,,,
hmsa,HMSA (Blue Cross and Blue Shield of Hawaii),Hawaii Medical Service Association (BCBSA licensee),commercial,commercial|managed_medicaid|medicare_advantage,HI,1,HMSA Akamai Advantage|HMSA QUEST Integration|Hawaii Medical Service Association,SB971,per_state,,,claim.md/payer/sb971; ClaimShuttle Hawaii BCBS HMSA page surfaced in search
hometown-health,Hometown Health (Renown Health),Renown Health,commercial,commercial|medicare_advantage,NV,1,Senior Care Plus (MA),,,,,
horizon-blue-cross-blue-shield-of-new-jersey,Horizon Blue Cross Blue Shield of New Jersey,Horizon Mutual Holdings,commercial,commercial|managed_medicaid|medicare_advantage,NJ,1,"Braven Health (MA JV, listed separately)|Horizon BCBSNJ|Horizon NJ Health (Medicaid)",22099,per_state,,,horizonblue.com claim-submission pages (search summary: 'vast majority of member claims including FEP use payer ID 22099'); claim.md/payer/22099
independence-blue-cross,Independence Blue Cross,Independence Health Group,commercial,commercial|medicare_advantage,PA,1,AmeriHealth|IBC|IBX|Keystone Health Plan East,54704,per_region,,,ibx.com payer-ID reference PDF (search summary); claim.md/payer/54704
inland-empire-health-plan,Inland Empire Health Plan (IEHP),Public entity (Riverside & San Bernardino counties JPA),medicaid_mco,commercial|managed_medicaid,CA,1,IEHP|IEHP Covered|IEHP DualChoice,,,,,
iowa-total-care-with-ambetter-wellcare-affiliates,Iowa Total Care (Centene) — with Ambetter/Wellcare affiliates,Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,IA,1,Ambetter from Iowa Total Care|Wellcare (MA),,,,,Centene plans generally consolidate on 68069 — verify per plan
iu-health-plans,IU Health Plans (now part of Elevance Health),"Elevance Health (acquired from Indiana University Health, 2024)",medicare_advantage,commercial|medicare_advantage,IN,1,Indiana University Health Plans,,,,,
jefferson-health-plans,Jefferson Health Plans (Health Partners Plans),Jefferson Health,medicaid_mco,commercial|managed_medicaid|medicare_advantage,PA,1,HPP|Health Partners Medicare|Health Partners Plans,,,,,
johns-hopkins-us-family-health-plan,Johns Hopkins US Family Health Plan,Johns Hopkins Medicine,commercial,tricare,DE,1,USFHP,,,,,
kaiser-permanente-california,Kaiser Permanente California,"Kaiser Foundation Health Plan, Inc.",commercial,commercial|managed_medicaid|medicare_advantage,CA,1,KFHP|Kaiser NorCal/SoCal,94135,per_region,,,"mymedicalbillsolution.com Kaiser billing guide (search summary): NCAL 94135, SCAL 91062, CO 91617, GA 61415, HI 99938, Mid-Atlantic 52192, NW 91165, WA 91151; Availity 837 PDF row: KAISER FOUNDATION HEALTH PLAN WASHINGTON 91051 | Northern CA 94135; Southern CA 91062 (single-source); region IDs vary by clearinghouse"
kaiser-permanente-colorado,Kaiser Permanente Colorado,Kaiser Foundation Health Plan,commercial,commercial|medicare_advantage,CO,1,KP Colorado,91617,per_region,,,"mymedicalbillsolution.com Kaiser billing guide (search summary): NCAL 94135, SCAL 91062, CO 91617, GA 61415, HI 99938, Mid-Atlantic 52192, NW 91165, WA 91151; Availity 837 PDF row: KAISER FOUNDATION HEALTH PLAN WASHINGTON 91051 | single-source (billing guide)"
kaiser-permanente-georgia,Kaiser Permanente Georgia,Kaiser Foundation Health Plan,commercial,commercial|medicare_advantage,GA,1,KP Georgia,,per_region,,,"mymedicalbillsolution.com Kaiser billing guide (search summary): NCAL 94135, SCAL 91062, CO 91617, GA 61415, HI 99938, Mid-Atlantic 52192, NW 91165, WA 91151; Availity 837 PDF row: KAISER FOUNDATION HEALTH PLAN WASHINGTON 91051 | conflict: 61415 (billing guide) vs 21313 (Office Ally) — verify before use"
kaiser-permanente-hawaii,Kaiser Permanente Hawaii,"Kaiser Foundation Health Plan, Inc.",commercial,commercial|managed_medicaid|medicare_advantage,HI,1,Kaiser Foundation Health Plan of Hawaii|Kaiser Permanente Senior Advantage,99938,per_region,,,"mymedicalbillsolution.com Kaiser billing guide (search summary): NCAL 94135, SCAL 91062, CO 91617, GA 61415, HI 99938, Mid-Atlantic 52192, NW 91165, WA 91151; Availity 837 PDF row: KAISER FOUNDATION HEALTH PLAN WASHINGTON 91051 | single-source (billing guide)"
kaiser-permanente-northwest,Kaiser Permanente Northwest,Kaiser Permanente,commercial,commercial|medicare_advantage,OR,1,KFHP-NW|Kaiser NW,91165,per_region,,,"mymedicalbillsolution.com Kaiser billing guide (search summary): NCAL 94135, SCAL 91062, CO 91617, GA 61415, HI 99938, Mid-Atlantic 52192, NW 91165, WA 91151; Availity 837 PDF row: KAISER FOUNDATION HEALTH PLAN WASHINGTON 91051 | single-source (billing guide)"
kaiser-permanente-washington,Kaiser Permanente Washington,Kaiser Permanente,commercial,commercial|medicare_advantage,WA,1,Group Health Cooperative (legacy name)|KFHPWA Options (PPO/point-of-service arm)|Kaiser Permanente Washington,,per_region,,,"mymedicalbillsolution.com Kaiser billing guide (search summary): NCAL 94135, SCAL 91062, CO 91617, GA 61415, HI 99938, Mid-Atlantic 52192, NW 91165, WA 91151; Availity 837 PDF row: KAISER FOUNDATION HEALTH PLAN WASHINGTON 91051 | conflict: 91051 (Availity) vs 91151 (billing guide) — verify before use"
l-a-care-health-plan,L.A. Care Health Plan,Local Initiative Health Authority for Los Angeles County (public agency),medicaid_mco,commercial|managed_medicaid,CA,1,L.A. Care Covered|Local Initiative Health Authority,,,,,
louisiana-healthcare-connections,Louisiana Healthcare Connections,Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,LA,1,Ambetter from Louisiana Healthcare Connections|Wellcare (MA),68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
magnolia-health,Magnolia Health (Centene),Centene Corporation,medicaid_mco,managed_medicaid|medicare_advantage,MS,1,Magnolia Health Plan|Wellcare by Allwell (Centene MA in MS),68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
maryland-physicians-care,Maryland Physicians Care,"JV of Maryland hospital systems (incl. Ascension Saint Agnes, LifeBridge Health, Trinity Health/Holy Cross)",medicaid_mco,managed_medicaid,MD,1,MPC,,,,,
mass-general-brigham-health-plan,Mass General Brigham Health Plan,Mass General Brigham,commercial,commercial|managed_medicaid,MA,1,AllWays Health Partners (former)|Neighborhood Health Plan (legacy),,,,,
mclaren-health-plan,McLaren Health Plan,McLaren Health Care,medicaid_mco,commercial|managed_medicaid|medicare_advantage,MI,1,McLaren Community|McLaren Medicaid,,,,,
